Title Name,Language,Released,Rating,IMDb
,5 Centimeters Per Second,Movie,Japanese,TV-PG
,7SEEDS,TV,English,TV-MA
,A Whisker Away,Movie,Japanese,TV-PG
,A.I.C.O.,TV,Japanese,TV-14
,Adam by Eve: A live in Animation,Movie,Japanese,TV-14
,Aggretsuko,TV,English,TV-14
,Aggretsuko: We Wish You a Metal Christmas,Movie,English,TV-PG
,AJIN: Demi-Human,TV,Japanese,TV-MA
,Akuma Kun,TV,Japanese,TV-MA
,Alice in Borderland,TV,Japanese,TV-MA
,Altered Carbon: Resleeved,Movie,Japanese,TV-MA
,B: The Beginning,TV,Japanese,TV-MA
,Back Street Girls -GOKUDOLS-,TV,Japanese,TV-MA
,BAKI,TV,Japanese,TV-MA
,Baki Hanma,TV,Japanese,TV-MA
,Baki Hanma VS Kengan Ashura,Movie,Japanese,TV-MA
,BEASTARS,TV,Japanese,TV-MA
,Bee and PuppyCat,TV,English,TV-PG
,Beyblade Burst QuadDrive,TV,English,TV-Y
,Beyblade Burst Rise,TV,English,TV-Y7
,Beyblade Burst Turbo,TV,English,TV-Y7
,BEYBLADE X,TV,Japanese,TV-Y7
,Black Butler,TV,Japanese,TV-MA
,Black Clover,TV,Portuguese,TV-PG
,Black Clover: Sword of the Wizard King,Movie,Japanese,TV-14
